,roles,companies,locations,experience,skills
0,Data Scientist,VGN Homes,,,"Data Science, Artificial Intelligence, Predictive Modeling, Data, Intelligence, Predictive, Modeling, Science"
1,Data Scientist - AI Solutions For Electrification,Siemens,Bengaluru,4-9 Yrs,"python, data manipulation, dl, reinforcement learning, ml, scikit-learn, microsoft azure, aws sagemaker"
2,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
3,Data Scientist,,,,
4,GCP Data Engineer,,,,
5,,,,,
6,,,,,
7,,,,,
8,Data Scientist III,Walmart,Bengaluru,6-7 Yrs,"Procurement, Business services, System architecture, ERP, Coding, Machine learning, enterprise business, Open source"
9,Data Management - Data Scientist,EY,Bengaluru,3-4 Yrs,"Computer science, Data analysis, ERP, Assurance, Data management, Analytical, Consulting, Machine learning"
10,Data Scientist,Tech Mahindra,Bengaluru,12-15 Yrs,"deep learning, Time management, Django, Analytical, Artificial Intelligence, Machine learning, Deployment, data visualization"
11,Data Scientist,HCLTech,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science, Machine Learning, Deep Learning, Machine, Science, Data"
12,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,3-4 Yrs,"Supply chain, Product engineering, Data analysis, Analytical, Machine learning, Data structures, Troubleshooting, SQL"
13,Data Scientist,Centre for Effective Governance of Indian States (CEGIS)- CLOP,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,"Procurement, SAN, Data analysis, Nutrition, Performance management, Analytical, Data collection, Healthcare"
14,Data Scientist,Caterpillar Inc,Chennai,8-13 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
15,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"data analysis, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
16,Data Scientist III,Walmart,Bengaluru,6-11 Yrs,"Procurement, System architecture, ERP, Architecture, Coding, Machine learning, Open source, Information technology"
17,DATA SCIENTIST III,Walmart,Bengaluru,1-7 Yrs,"Publishing, Networking, data science, Artificial Intelligence, Machine learning, SEZ, Forecasting, Information technology"
18,Data Scientist | Sutherland | Chennai,Sutherland,Hybrid - Chennai,7-12 Yrs,"data scientist, Machine Learning, Data Analytics, Machine, Data, Analytics"
19,Data Scientist,Automotive Mahindra,Mumbai,2-4 Yrs,"Computer vision, deep learning, data science, Data modeling, Manager Technology, Regulatory compliance, Data quality, big data"
20,Data Scientist,Valuelabs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,"Generative AI, Natural Language Processing, Machine Learning, AWS, Python, Artificial Intelligence, Deep Learning, Processing"
21,Data Scientist- Supply Chain Operations,Allegis Group,Bengaluru,10-19 Yrs,"Data Science, Supply Chain Analytics, Machine Learning, Python, SQL, Tableau, Machine, Supply chain operations"
22,Data Scientist,JLL Technologies,Gurugram,3-8 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
23,Data Scientist - Gen AI,Genpact,"Hybrid - Noida, Gurugram, Bengaluru",8-12 Yrs,"Artificial Intelligence, AWS bedrocks, Azure Machine Learning, Gen, Machine, Machine learning, Microsoft Azure, Data"
24,Data Scientist,Infosys,Bengaluru,9-11 Yrs,"business acumen, data science, model development, machine learning algorithms, statistics, continuous integration, snowflake, python"
25,Data Scientist,VGN Homes,,,"Data Science, Artificial Intelligence, Predictive Modeling, Data, Intelligence, Predictive, Modeling, Science"
26,Data Scientist - AI Solutions For Electrification,Siemens,Bengaluru,4-9 Yrs,"python, data manipulation, dl, reinforcement learning, ml, scikit-learn, microsoft azure, aws sagemaker"
27,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
28,Data Scientist,,,,
29,GCP Data Engineer,,,,
30,,,,,
31,,,,,
32,,,,,
33,Data Scientist III,Walmart,Bengaluru,6-7 Yrs,"Procurement, Business services, System architecture, ERP, Coding, Machine learning, enterprise business, Open source"
34,Data Management - Data Scientist,EY,Bengaluru,3-4 Yrs,"Computer science, Data analysis, ERP, Assurance, Data management, Analytical, Consulting, Machine learning"
35,Data Scientist,Tech Mahindra,Bengaluru,12-15 Yrs,"deep learning, Time management, Django, Analytical, Artificial Intelligence, Machine learning, Deployment, data visualization"
36,Data Scientist,HCLTech,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science, Machine Learning, Deep Learning, Machine, Science, Data"
37,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,3-4 Yrs,"Supply chain, Product engineering, Data analysis, Analytical, Machine learning, Data structures, Troubleshooting, SQL"
38,Data Scientist,Centre for Effective Governance of Indian States (CEGIS)- CLOP,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,"Procurement, SAN, Data analysis, Nutrition, Performance management, Analytical, Data collection, Healthcare"
