,roles,companies,locations,experience,skills
0,Data Scientist,VGN Homes,,,"Data Science, Artificial Intelligence, Predictive Modeling, Data, Intelligence, Predictive, Modeling, Science"
1,Data Scientist,Genpact,Bengaluru,5-10 Yrs,"Statistical Modeling, Machine Learning, Python, regression, Linear Regression, ML, Machine, Modeling"
2,Data Scientist,Capgemini,Bengaluru,4-9 Yrs,"python, data manipulation, numpy, machine learning algorithms, statistics, data analysis, scikit-learn, pyspark"
3,Data Scientist,,,,
4,GCP Data Engineer,,,,
5,,,,,
6,,,,,
7,,,,,
8,Data Scientist - AI Solutions For Electrification,Siemens,Bengaluru,4-9 Yrs,"python, data manipulation, dl, reinforcement learning, ml, scikit-learn, microsoft azure, aws sagemaker"
9,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
10,Data Scientist III,Walmart,Bengaluru,6-7 Yrs,"Procurement, Business services, System architecture, ERP, Coding, Machine learning, enterprise business, Open source"
11,Data Scientist,HCLTech,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science, Machine Learning, Deep Learning, Machine, Science, Data"
12,Data Scientist,Centre for Effective Governance of Indian States (CEGIS)- CLOP,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,"Procurement, SAN, Data analysis, Nutrition, Performance management, Analytical, Data collection, Healthcare"
13,Data Scientist,New Talent Infotech Solutions,Rewa,8-13 Yrs,Data Scientist
14,IN-Manager_ Data scientist,PwC Service Delivery Center,Kolkata,9-12 Yrs,"data cleansing, deep learning, Business transformation, Networking, Neural networks, Analytical, Consulting, Machine learning"
15,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"data analysis, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
16,Data Scientist,Siemens,Bengaluru,7-10 Yrs,"Python, Error Correction Models, State Space Models, ARIMA, VAR, R coding, Deep Learning, SQL coding"
17,Data Scientist,Capgemini,Bengaluru,4-7 Yrs,"python, software development, software design, javascript, java, c++, project management, c"
18,Data Scientist,Caterpillar Inc,Chennai,8-13 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
19,Data Scientist | Sutherland | Chennai,Sutherland,Hybrid - Chennai,7-12 Yrs,"data scientist, Machine Learning, Data Analytics, Machine, Analytics, Data"
20,Data Scientist,GroupM,"Mumbai, Gurugram, Bengaluru",8-10 Yrs,"Computer vision, Cloud computing, data science, GCP, Analytical, Machine learning, Natural language processing, SQL"
21,Data Scientist,Valuelabs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,"Generative AI, Natural Language Processing, Machine Learning, AWS, Python, Artificial Intelligence, Deep Learning, Processing"
22,AI/ML Developer / Data Scientist (Computer Vision & NLP),Universal Ai University,Mumbai,2-5 Yrs,"Computer vision, Machine learning, Cloud, Programming, Deployment, Transformers, Natural language processing, AWS"
23,Data Scientist 1,Paypal,Chennai,4-9 Yrs,"OPEX, Dispute resolution, Excel, Diversity and Inclusion, Credit risk management, Scientist 1, Operations, Analytics"
24,Data Scientist,JLL Technologies,Gurugram,3-8 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
25,Data Scientist,VGN Homes,,,"Data Science, Artificial Intelligence, Predictive Modeling, Data, Intelligence, Predictive, Modeling, Science"
26,Data Scientist,Genpact,Bengaluru,5-10 Yrs,"Statistical Modeling, Machine Learning, Python, regression, Linear Regression, ML, Machine, Modeling"
27,Data Scientist,Capgemini,Bengaluru,4-9 Yrs,"python, data manipulation, numpy, machine learning algorithms, statistics, data analysis, scikit-learn, pyspark"
28,Data Scientist,,,,
29,Sr. Data Scientist,,,,
30,,,,,
31,,,,,
32,,,,,
33,Data Scientist - AI Solutions For Electrification,Siemens,Bengaluru,4-9 Yrs,"python, data manipulation, dl, reinforcement learning, ml, scikit-learn, microsoft azure, aws sagemaker"
34,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
35,Data Scientist III,Walmart,Bengaluru,6-7 Yrs,"Procurement, Business services, System architecture, ERP, Coding, Machine learning, enterprise business, Open source"
36,Data Scientist,HCLTech,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science, Machine Learning, Deep Learning, Machine, Science, Data"
37,Data Scientist,Centre for Effective Governance of Indian States (CEGIS)- CLOP,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,"Procurement, SAN, Data analysis, Nutrition, Performance management, Analytical, Data collection, Healthcare"
38,Data Scientist,New Talent Infotech Solutions,Rewa,8-13 Yrs,Data Scientist
39,IN-Manager_ Data scientist,PwC Service Delivery Center,Kolkata,9-12 Yrs,"data cleansing, deep learning, Business transformation, Networking, Neural networks, Analytical, Consulting, Machine learning"
40,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"data analysis, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
41,Data Scientist,Siemens,Bengaluru,7-10 Yrs,"Python, Error Correction Models, State Space Models, ARIMA, VAR, R coding, Deep Learning, SQL coding"
42,Data Scientist,Capgemini,Bengaluru,4-7 Yrs,"python, software development, software design, javascript, java, c++, project management, c"
43,Data Scientist,Caterpillar Inc,Chennai,8-13 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
44,Data Scientist | Sutherland | Chennai,Sutherland,Hybrid - Chennai,7-12 Yrs,"data scientist, Machine Learning, Data Analytics, Machine, Analytics, Data"
45,Data Scientist,GroupM,"Mumbai, Gurugram, Bengaluru",8-10 Yrs,"Computer vision, Cloud computing, data science, GCP, Analytical, Machine learning, Natural language processing, SQL"
46,Data Scientist,Valuelabs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,"Generative AI, Natural Language Processing, Machine Learning, AWS, Python, Artificial Intelligence, Deep Learning, Processing"
47,AI/ML Developer / Data Scientist (Computer Vision & NLP),Universal Ai University,Mumbai,2-5 Yrs,"Computer vision, Machine learning, Cloud, Programming, Deployment, Transformers, Natural language processing, AWS"
48,Data Scientist 1,Paypal,Chennai,4-9 Yrs,"OPEX, Dispute resolution, Excel, Diversity and Inclusion, Credit risk management, Scientist 1, Operations, Analytics"
49,Data Scientist,JLL Technologies,Gurugram,3-8 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
50,Data Management - Data Scientist,EY,Bengaluru,3-4 Yrs,"Computer science, Data analysis, ERP, Assurance, Data management, Analytical, Consulting, Machine learning"
51,Data Scientist III,Walmart,Bengaluru,6-11 Yrs,"Procurement, System architecture, ERP, Architecture, Coding, Machine learning, Open source, Information technology"
52,DATA SCIENTIST III,Walmart,Bengaluru,1-7 Yrs,"Publishing, Networking, data science, Artificial Intelligence, Machine learning, SEZ, Forecasting, Information technology"
53,Data Scientist,Tech Mahindra,Bengaluru,12-15 Yrs,"deep learning, Time management, Django, Analytical, Artificial Intelligence, Machine learning, Deployment, data visualization"
54,Data Scientist - Gen AI,Genpact,"Hybrid - Noida, Gurugram, Bengaluru",8-12 Yrs,"Artificial Intelligence, AWS bedrocks, Azure Machine Learning, Gen, Machine, Machine learning, Microsoft Azure, Data"
55,Data Scientist,Essencemediacom,"Mumbai, Gurugram, Bengaluru",8-10 Yrs,"Computer vision, Cloud computing, data science, GCP, Analytical, Machine learning, Natural language processing, SQL"
56,Data Scientist,Wildnet Technologies Pvt. Ltd,Bengaluru,7-12 Yrs,"IT services, Telecom, Postgresql, Network operations, Machine learning, SEO, Data mining, SQL"
57,Data Scientist,Evnek,Bengaluru,5-10 Yrs,"Computer vision, Data analysis, GCP, Data modeling, Analytical, Machine learning, Data processing, SQL"
58,Data Scientist,Weunity Systems Llp,"Hybrid - Pune, Gurugram, Bengaluru",1-6 Yrs,"R, Artificial Intelligence, Natural Language Processing, Statistical Modeling, Machine Learning Algorithms, Machine Learning, Python, Machine"
59,Data Scientist,Wildnet Technologies,Bengaluru,3-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Aiml, Big Data, Machine, Science, Data"
60,Data Scientist,Witlance Solutions,"Pune, Bengaluru",6-9 Yrs,"Machine Learning, EDA, ML, Python, SQL, Machine, Data"
61,Gen AI Architect (Data Scientist),Indium Software,Bengaluru,8-13 Yrs,"Data Science, Gen, Artificial Intelligence, Python, Ai Algorithms, Django, Rest Api Services, Ml"
62,Data Scientist,Leading Client,Mumbai,3-8 Yrs,"Data Science, Google Cloud Platform, Hugging Face Transformers, NLP techniques, statistical modelling, OpenAI APIs, Python, SQL"
63,Data Scientist,Leading Client,New Delhi,4-8 Yrs,"Data Science, R, Logistic Regression, Decision Tree, Machine learning, Linear Progression, Python, Machine"
64,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,3-4 Yrs,"Supply chain, Product engineering, Data analysis, Analytical, Machine learning, Data structures, Troubleshooting, SQL"
65,Pune || Data Scientist || 4+ Years,Globallogic,Pune,3-5 Yrs,"python, data analytics, modeling, scikit-learn, predictive analytics, predictive, microsoft azure, aiml"
66,Walkin Drive_ Data Scientist (GENAI)_19th April 25_ Pune Location,Hexaware Technologies,Hybrid - Pune,4-9 Yrs,"GenAI, Generative AI, Natural Language Processing, Data Science, Python, Azure, Artificial Intelligence, Machine Learning"
67,Data Scientist,Coditas Technologies,Pune,3-6 Yrs,"Deployment, Python, Pyspark, Azure Cloud, Artificial Intelligence, AWS, Machine Learning, Intelligence"
68,Data Scientist,Apps Associates,Gurugram,5-7 Yrs,"Natural Language Processing, NoSQL databases, AWS SageMaker, Step Functions, Lambda, API Gateway, SQL, Process"
69,Data Scientist,Virtana Corp,"Pune, Chennai",3-8 Yrs,"Prototype, Time series analysis, Artificial Intelligence, IT operations management, Machine learning, Cloud, Cash flow, Pattern recognition"
70,Data Scientist - Machine Learning,EzeiaTech,Gurugram,2-6 Yrs,"Machine Learning, Data Science, EDA, Data Analysis, statistical modeling, Data Visualization, Statistical Analysis, Machine"
71,Data Scientist,Wcities,Remote,4-8 Yrs,"python, data mining, machine learning, artificial intelligence, data analysis, Generative AI, LangChain, Hugging Face"
72,Data Scientist - Phd only,Anurag Electronic Gujarat,Mumbai,0-2 Yrs,"Natural Language Processing, Phd, Deep Learning, Data Science, Languages, Processing, Data, Science"
73,Data Scientist,ERM Placement Services,Hybrid - Gurugram,4-7 Yrs,"Machine Learning, Python, SQL, R, Machine, Data"
74,Data Scientist,A Client of Sarthee Consultancy,"Ahmedabad, Ankleshwar, Vadodara",5-9 Yrs,"Data Science, MySQL, Jenkins, Docker, PostgreSQL, MongoDB, AI experience, Python"
75,Data Scientist- Supply Chain Operations,Allegis Group,Bengaluru,10-19 Yrs,"Data Science, Supply Chain Analytics, Machine Learning, Python, SQL, Tableau, Machine, Supply chain operations"
76,Data Scientist,UPL Limited,Bengaluru,3-6 Yrs,"advanced analytics, python, exploration, data analysis, access, analytical, scala, mathematics"
77,Data Scientist,Capgemini,Hybrid - Bengaluru,6-9 Yrs,"Data Science, Pyspark, Data Bricks, Python, SQL, Bricks, Data, Science"
78,Data Scientist,Infosys,Bengaluru,9-11 Yrs,"business acumen, data science, model development, machine learning algorithms, statistics, continuous integration, snowflake, python"
79,Data Scientist,R Systems International,Pune,3-8 Yrs,"Data Science, EXCEL, AI/ML, ML Models, Python, SQL, Data, Ml"
80,Data Scientist- GenAI,Wipro,Bengaluru,2-5 Yrs,"natural language processing, dl, aiml, artificial intelligence, ml, algorithms, python, gpm"
81,Data Scientist,Hindustan Unilever (HUL),Bengaluru,3-4 Yrs,"Computer science, Data analysis, Data management, SAS, User interface designing, Data modeling, Analytical, Machine learning"
82,Data Scientists,Capgemini,Bengaluru,4-6 Yrs,"python, machine learning, sql, tableau, data integration tools, deploying models, natural language processing, scikit-learn"
83,Data Scientist,Ericsson,"Hybrid - Noida, Kolkata, Bengaluru",8-12 Yrs,"Deployment, Python Development, Machine Learning, Statistics, Deep Learning, Pyspark, SQL, Data"
84,Data Management - Data Scientist,EY,Bengaluru,3-4 Yrs,"Data analysis, ERP, Data management, Analytical, Consulting, Machine learning, Business solutions, Forecasting"
85,Data Scientist,Merkle Inc,Bengaluru,8-13 Yrs,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
86,Data Scientist,Capgemini,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-9 Yrs,"Cnn, Lstm, Machine Learning, Deep Learning, Python, Machine, Data"
87,Clinical Data Scientist,AstraZeneca India Pvt. Ltd,Bengaluru,1-5 Yrs,"Computer science, Basic, Data analysis, Change management, Access management, Healthcare, Monitoring, System administration"
88,Data Scientist III,Walmart,Bengaluru,4-9 Yrs,"Supply chain, Networking, SEZ, Support services, Information technology, Analytics, Business operations, SQL"
89,"Data Scientist, Advanced",Zebra Technologies,Bengaluru,3-7 Yrs,"continuous integration, pruning, cd, kubernetes, python, natural language processing, ci/cd, engineering"
90,Data Scientist with Gen AI experience,Colan Infotech,"Chennai, Bengaluru",5-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Deep Learning, Decision Tree, SARIMA, ARIMA, Prophet for forecasting"
91,Data Scientist,Maximus,Hybrid - Bengaluru,7-9 Yrs,"EDA, Data Science, Data Visualization, Data Modeling, statistical analysis, Tensorflow, Predictive Modeling, Exploratory Data Analysis"
92,Data Scientist,Caterpillar Inc,Chennai,4-8 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
93,Data Scientist (NLP),Uplers,Remote,5-10 Yrs,"Data Science, Pyspark, Databricks, Python, Azure, NLP, Large Language Models, Natural language processing"
94,Data Scientist - Stats,Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",3-6 Yrs,"Data Science, Regression, Ml Algorithms, Python, SQL, Azure, GCP, Natural Language Processing"
95,Data Scientist,Swift Staffing,"Hyderabad, Chennai, Bengaluru",9-14 Yrs,"Data Science, Chatbot, Aiml, Data, Science"
96,Data Scientist,"Commonwealth Bank of Australia, India",Bengaluru,7-9 Yrs,"Data Science, Gen AI, NLP, Python, ML, Natural Language Processing, Machine Learning, SQL"
97,Data Scientist,IT service company,"Bangalore Rural, Bengaluru",8-12 Yrs,"Maritime, Predictive Modeling, Tensorflow, Pytorch, Data Visualization, data scientist, Data analytics, Machine Learning"
