,roles,companies,locations,experience,skills
0,Data Scientist,Ltimindtree,"Hybrid - Hyderabad, Chennai, Bengaluru",8-13 Yrs,"Data Science, Gen ai, Python, Data, Science, Gen, Artificial Intelligence"
1,Urgent Hiring For FullStack-Data Scientist-Immediate Joiners-Gurgaon,Genpact,"Hybrid - Gurugram, Bengaluru",7-12 Yrs,"Natural Language Processing, Machine Learning Algorithms, Object Oriented Programming, Large Language Models, Python, Oops Programming, Ml Algorithms, Deep Learning"
2,Sr. Data Scientist,,,,
3,Artificial Intelligence Developer,,,,
4,Data Science Manager,,,,
5,Sr. Machine Learning Engineer,,,,
6,Data Scientist,,,,
7,Data Scientist,Wipro,Bengaluru,2-7 Yrs,"time series analysis, python, machine learning, pandas, ml, eda, performance testing, natural language processing"
8,RBL Bank | Hiring For Data Scientist - Airoli,RBL FinServe,Mumbai (All Areas),4-8 Yrs,"Data Science, Python, Insights, Machine Learning, Data, Science, Hiring, Machine"
9,Data Scientist,o9 Solutions,Bengaluru,2-4 Yrs,"Supply chain, Coding, Project management, Business analytics, Analytical, Predictive modeling, Data mining, Forecasting"
10,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"python, machine learning, tensorflow, pytorch, keras, kubernetes, github, natural language processing"
11,Data Scientist,American Express Global Business Travel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Mining, Computer science, Computer vision, Operations research, GCP, Machine learning, Data quality, Analytics"
12,Data Scientist,IBM,Bengaluru,3-6 Yrs,"python, aiml, artificial intelligence, data science, ml, rest, continuous integration, kubernetes"
13,Gen AI Data Scientist - Wholesale Credit Risk,JPMorgan Chase Bank,Mumbai,3-8 Yrs,"Computer science, Quantitative research, Analytical, Machine learning, Credit risk, data visualization, Monitoring, Wholesale"
14,"Data Scientist, Digital Acceleration",Amazon,Chennai,2-7 Yrs,"Digital media, Data analysis, SAS, Data modeling, Analytical, Machine learning, Perl, MATLAB"
15,Data Scientist / Engineer,Cyquent,"Mumbai, Delhi / NCR, Bengaluru",2-5 Yrs,"Data Scientist, Python, hive, data analysis, scala, amazon redshift, airflow, microsoft azure"
16,Data Scientist,Prescience Decision Solutions,Bengaluru,3-6 Yrs,Data Scientist
17,Data Scientist / AI Engineer/ Contract Based / F2F Interview,SP Staffing Services,Bengaluru,3-6 Yrs,"AI Engineer, Watsonx.ai, Artificial Intelligence, AI, Models AI, WatsonX, Genetative AI, Ml"
18,Walkin Drive_ Data Scientist(Agentic AI)_17th May 25_ Chennai Location,Hexaware Technologies,Hybrid - Chennai,3-8 Yrs,"Data scientist, Generative AI, Agentic AI, NLP, Transformers, GenAI, Artificial Intelligence, Natural Language Processing"
19,Data Scientist,Azira,Bengaluru,0-3 Yrs,", data extraction, python, data analysis, microsoft azure, machine learning, programming, sql"
20,Data Scientist,Prescience Decision Solutions,"Hyderabad, Bengaluru",3-6 Yrs,Data Scientist
21,Walkin Drive_ Data Scientist (Agentic AI) 8th May 25_ Navi Mumbai,Hexaware Technologies,Hybrid - Navi Mumbai,4-9 Yrs,"GenAI, Data Science, NLP, Transformers, Generative Ai, Langchain, Artificial Intelligence, Natural Language Processing"
22,"Data Scientist III, ROW AOP",Amazon,Hyderabad,5-10 Yrs,"Publishing, SAS, Analytical, Machine learning, Business intelligence, MATLAB, Distribution system, SQL"
23,Data Scientist,Ascent Consulting Services,Bengaluru,3-8 Yrs,"data science, Machine learning, Cloud, Manager Technology, SQL, Python, Recruitment, Data"
24,GN SC&O - S&P Data Scientist - Specialist,Accenture,Bengaluru,3-7 Yrs,"project management, data analysis, spend analysis, team management, data science, oracle, data management, sas"
25,Data Scientist,Ltimindtree,"Hybrid - Hyderabad, Chennai, Bengaluru",8-13 Yrs,"Data Science, Gen ai, Python, Data, Science, Gen, Artificial Intelligence"
26,Urgent Hiring For FullStack-Data Scientist-Immediate Joiners-Gurgaon,Genpact,"Hybrid - Gurugram, Bengaluru",7-12 Yrs,"Natural Language Processing, Machine Learning Algorithms, Object Oriented Programming, Large Language Models, Python, Oops Programming, Ml Algorithms, Deep Learning"
27,Sr. Data Scientist,,,,
28,Artificial Intelligence Developer,,,,
29,Data Science Manager,,,,
30,Data Scientist,,,,
31,Sr. Machine Learning Engineer,,,,
32,Data Scientist,Wipro,Bengaluru,2-7 Yrs,"time series analysis, python, machine learning, pandas, ml, eda, performance testing, natural language processing"
33,RBL Bank | Hiring For Data Scientist - Airoli,RBL FinServe,Mumbai (All Areas),4-8 Yrs,"Data Science, Python, Insights, Machine Learning, Data, Science, Hiring, Machine"
34,Data Scientist,o9 Solutions,Bengaluru,2-4 Yrs,"Supply chain, Coding, Project management, Business analytics, Analytical, Predictive modeling, Data mining, Forecasting"
35,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"python, machine learning, tensorflow, pytorch, keras, kubernetes, github, natural language processing"
36,Data Scientist,American Express Global Business Travel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Mining, Computer science, Computer vision, Operations research, GCP, Machine learning, Data quality, Analytics"
37,Data Scientist,IBM,Bengaluru,3-6 Yrs,"python, aiml, artificial intelligence, data science, ml, rest, continuous integration, kubernetes"
38,Gen AI Data Scientist - Wholesale Credit Risk,JPMorgan Chase Bank,Mumbai,3-8 Yrs,"Computer science, Quantitative research, Analytical, Machine learning, Credit risk, data visualization, Monitoring, Wholesale"
39,"Data Scientist, Digital Acceleration",Amazon,Chennai,2-7 Yrs,"Digital media, Data analysis, SAS, Data modeling, Analytical, Machine learning, Perl, MATLAB"
40,Data Scientist / Engineer,Cyquent,"Mumbai, Delhi / NCR, Bengaluru",2-5 Yrs,"Data Scientist, Python, hive, data analysis, scala, amazon redshift, airflow, microsoft azure"
41,Data Scientist,Prescience Decision Solutions,Bengaluru,3-6 Yrs,Data Scientist
42,Data Scientist / AI Engineer/ Contract Based / F2F Interview,SP Staffing Services,Bengaluru,3-6 Yrs,"AI Engineer, Watsonx.ai, Artificial Intelligence, AI, Models AI, WatsonX, Genetative AI, Ml"
43,Walkin Drive_ Data Scientist(Agentic AI)_17th May 25_ Chennai Location,Hexaware Technologies,Hybrid - Chennai,3-8 Yrs,"Data scientist, Generative AI, Agentic AI, NLP, Transformers, GenAI, Artificial Intelligence, Natural Language Processing"
44,Data Scientist,Azira,Bengaluru,0-3 Yrs,", data extraction, python, data analysis, microsoft azure, machine learning, programming, sql"
45,Data Scientist,Prescience Decision Solutions,"Hyderabad, Bengaluru",3-6 Yrs,Data Scientist
46,Walkin Drive_ Data Scientist (Agentic AI) 8th May 25_ Navi Mumbai,Hexaware Technologies,Hybrid - Navi Mumbai,4-9 Yrs,"GenAI, Data Science, NLP, Transformers, Generative Ai, Langchain, Artificial Intelligence, Natural Language Processing"
47,"Data Scientist III, ROW AOP",Amazon,Hyderabad,5-10 Yrs,"Publishing, SAS, Analytical, Machine learning, Business intelligence, MATLAB, Distribution system, SQL"
48,Data Scientist,Ascent Consulting Services,Bengaluru,3-8 Yrs,"data science, Machine learning, Cloud, Manager Technology, SQL, Python, Recruitment, Data"
49,GN SC&O - S&P Data Scientist - Specialist,Accenture,Bengaluru,3-7 Yrs,"project management, data analysis, spend analysis, team management, data science, oracle, data management, sas"
